actionType,name,packageName,start_time,end_time
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:32.918,2019-05-16 01:41:37.134
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:37.148,2019-05-16 01:41:39.496
STILL,카카오톡,com.kakao.talk,2019-05-16 01:41:39.544,2019-05-16 01:41:42.169
STILL,카카오톡,com.kakao.talk,2019-05-16 01:48:38.939,2019-05-16 01:48:38.993
STILL,카카오톡,com.kakao.talk,2019-05-16 01:48:39.147,2019-05-16 01:48:43.370
STILL,카카오톡,com.kakao.talk,2019-05-16 01:48:43.390,2019-05-16 01:48:46.296
STILL,카카오톡,com.kakao.talk,2019-05-16 01:48:46.316,2019-05-16 01:48:53.130
STILL,카카오톡,com.kakao.talk,2019-05-16 01:51:09.080,2019-05-16 01:51:09.135
STILL,카카오톡,com.kakao.talk,2019-05-16 01:51:09.159,2019-05-16 01:51:10.021
STILL,Facebook,com.facebook.katana,2019-05-16 01:51:10.054,2019-05-16 01:51:12.417
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:51:12.452,2019-05-16 01:51:14.332
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:58:03.735,2019-05-16 01:58:10.172
STILL,카카오톡,com.kakao.talk,2019-05-16 01:58:10.208,2019-05-16 01:58:11.127
STILL,카카오톡,com.kakao.talk,2019-05-16 01:58:11.143,2019-05-16 01:58:13.047
STILL,카카오톡,com.kakao.talk,2019-05-16 01:58:13.074,2019-05-16 01:58:46.385
STILL,카카오톡,com.kakao.talk,2019-05-16 01:58:46.415,2019-05-16 01:58:53.437
STILL,카카오톡,com.kakao.talk,2019-05-16 01:58:53.457,2019-05-16 01:59:00.110
STILL,카카오톡,com.kakao.talk,2019-05-16 01:59:00.122,2019-05-16 01:59:05.727
STILL,카카오톡,com.kakao.talk,2019-05-16 01:59:05.758,2019-05-16 01:59:10.344
STILL,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:59:10.401,2019-05-16 01:59:13.867
STILL,SODA,com.snowcorp.soda.android,2019-05-16 01:59:14.225,2019-05-16 01:59:14.233
WALKING,SODA,com.snowcorp.soda.android,2019-05-16 01:59:45.052,2019-05-16 01:59:47.661
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 01:59:48.120,2019-05-16 01:59:49.826
WALKING,Samsung Experience 홈,com.sec.android.app.launcher,2019-05-16 02:05:43.358,2019-05-16 02:05:46.500
