timestamp,TotalSteps,StepsToday
1557562993315,76124,0
1557562994332,76124,0
1557562995350,76124,0
1557562996336,76124,0
1557562997370,76124,0
1557562998372,76124,0
1557562999363,76124,0
1557563000372,76124,0
1557563001422,76124,0
1557563002397,76124,0
1557563003400,76124,0
1557563004409,76124,0
1557563005413,76124,0
1557563006430,76124,0
1557563007446,76124,0
1557563008444,76124,0
1557563009458,76124,0
1557563010465,76124,0
1557563011462,76124,0
1557563012475,76124,0
1557563013478,76124,0
1557563014535,76124,0
1557563015476,76124,0
1557563016502,76124,0
1557563017515,76124,0
1557563018513,76124,0
1557563019513,76124,0
1557563020525,76124,0
1557563021539,76124,0
1557563022557,76124,0
1557563023556,76124,0
1557563024576,76124,0
1557563025594,76124,0
1557563026597,76124,0
1557563027589,76124,0
1557563028616,76124,0
1557563029628,76124,0
1557563030608,76124,0
1557563031612,76124,0
1557563032672,76124,0
1557563033647,76124,0
1557563034652,76124,0
1557563035702,76124,0
1557563036675,76124,0
1557563037685,76124,0
1557563038705,76124,0
1557563039719,76124,0
1557563040694,76124,0
1557563041714,76124,0
1557563042701,76124,0
1557563043727,76124,0
1557563044734,76124,0
1557563045725,76124,0
1557563046737,76124,0
1557563047757,76124,0
1557563048778,76124,0
1557563049805,76124,0
1557563050769,76124,0
1557563051788,76124,0
1557563052780,76124,0
1557563053799,76124,0
1557563054814,76124,0
1557563055834,76124,0
1557563056834,76124,0
1557563057829,76124,0
1557563058859,76124,0
1557563059859,76124,0
1557563060846,76124,0
1557563061843,76124,0
1557563062861,76124,0
1557563063903,76124,0
1557563064896,76124,0
1557563065933,76124,0
1557563066895,76124,0
1557563067938,76124,0
1557563068938,76124,0
1557563069948,76124,0
1557563070996,76124,0
1557563071941,76124,0
1557563072943,76124,0
1557563073969,76124,0
1557563075037,76124,0
1557563076010,76124,0
1557563076990,76124,0
1557563078014,76124,0
1557563079027,76124,0
1557563080006,76124,0
1557563081034,76124,0
1557563082037,76124,0
1557563083081,76124,0
1557563084075,76124,0
1557563085108,76124,0
1557563086182,76124,0
1557563087066,76124,0
1557563088080,76124,0
1557563089069,76124,0
1557563090140,76124,0
1557563091107,76124,0
1557563092113,76124,0
1557563093123,76124,0
1557563094160,76124,0
1557563095141,76124,0
1557563096161,76124,0
1557563097144,76124,0
1557563098165,76124,0
1557563099170,76124,0
1557563100183,76124,0
1557563101198,76124,0
1557563102222,76124,0
1557563103187,76124,0
1557563104215,76124,0
1557563105213,76124,0
1557563106256,76124,0
1557563107230,76124,0
1557563108245,76124,0
1557563109249,76124,0
1557563110252,76124,0
1557563111277,76124,0
1557563112280,76124,0
1557563113288,76124,0
1557563114295,76124,0
1557563115296,76124,0
1557563116310,76124,0
1557563117311,76124,0
1557563118467,76124,0
1557563119326,76124,0
1557563120356,76124,0
1557563121354,76124,0
1557563122392,76124,0
1557563123357,76124,0
1557563124384,76124,0
1557563125371,76124,0
1557563126392,76124,0
1557563127406,76124,0
1557563128408,76124,0
1557563129395,76124,0
1557563130461,76124,0
1557563131431,76124,0
1557563132443,76124,0
1557563133429,76124,0
1557563134504,76124,0
1557563135479,76124,0
1557563136488,76124,0
1557563137471,76124,0
1557563138484,76124,0
1557563139499,76124,0
1557563140495,76124,0
1557563141513,76124,0
1557563142518,76124,0
1557563143534,76124,0
1557563144520,76124,0
1557563145544,76124,0
1557563146555,76124,0
1557563147582,76124,0
1557563148555,76124,0
1557563149580,76124,0
1557563150578,76124,0
1557563151622,76124,0
1557563152611,76124,0
1557563153612,76124,0
1557563154606,76124,0
1557563155799,76124,0
1557563156638,76124,0
1557563157646,76124,0
1557563158671,76124,0
1557563159688,76124,0
1557563160676,76124,0
1557563161672,76124,0
1557563162698,76124,0
1557563163691,76124,0
1557563164692,76124,0
1557563165709,76124,0
1557563166717,76124,0
1557563167725,76124,0
1557563168749,76124,0
1557563169730,76124,0
1557563170743,76124,0
1557563171823,76124,0
1557563172766,76124,0
1557563173772,76124,0
1557563174786,76124,0
1557563175793,76124,0
1557563176809,76124,0
1557563177809,76124,0
1557563178822,76124,0
1557563179827,76124,0
1557563180834,76124,0
1557563181841,76124,0
1557563182846,76124,0
1557563183849,76124,0
1557563184882,76124,0
1557563185873,76124,0
1557563186886,76124,0
1557563187870,76124,0
1557563188898,76124,0
1557563189897,76124,0
1557563190927,76124,0
1557563191950,76124,0
1557563192923,76124,0
1557563193931,76124,0
1557563194934,76124,0
1557563195933,76124,0
1557563196965,76124,0
1557563197976,76124,0
1557563198961,76124,0
1557563199991,76124,0
1557563200998,76124,0
1557563202002,76124,0
1557563203013,76124,0
1557563204027,76124,0
1557563204998,76124,0
1557563206029,76124,0
1557563207041,76124,0
1557563208046,76124,0
1557563209057,76124,0
1557563210070,76124,0
1557563211083,76124,0
1557563212088,76124,0
1557563213074,76124,0
1557563214113,76124,0
1557563215105,76124,0
1557563216129,76124,0
1557563217126,76124,0
1557563218120,76124,0
1557563219146,76124,0
1557563220145,76124,0
1557563221146,76124,0
1557563222157,76124,0
1557563223145,76124,0
1557563224190,76124,0
1557563225185,76124,0
1557563226194,76124,0
1557563227181,76124,0
1557563228193,76124,0
1557563229232,76124,0
1557563230214,76124,0
