timestamp,CaloriesToday,Calories
1557506841416,94,15413
1557506842400,94,15413
1557506843416,94,15413
1557506844476,94,15413
1557506845477,94,15413
1557506846502,94,15413
1557506847516,94,15413
1557506848549,94,15413
1557506849617,94,15413
1557506850615,94,15413
1557506851638,94,15413
1557506852659,94,15413
1557506853712,94,15413
1557506854698,94,15413
1557506855721,94,15413
1557506856742,94,15413
1557506857823,94,15413
1557506858804,94,15413
1557506859837,94,15413
1557506860845,94,15413
1557506861922,94,15413
1557506862905,94,15413
1557506863920,94,15413
1557506864943,94,15413
1557506866001,94,15413
1557506867000,94,15413
1557506868001,94,15413
1557506869032,94,15413
1557506870083,94,15413
1557506871088,94,15413
1557506872119,94,15413
1557506873150,94,15413
1557506874193,94,15413
1557506875195,94,15413
1557506876212,94,15413
1557506877218,94,15413
1557506878271,94,15413
1557506879288,94,15413
1557506880302,94,15413
1557506881353,94,15413
1557506882514,94,15413
1557506883372,94,15413
1557506884401,94,15414
1557506885432,94,15414
1557506886474,95,15414
1557506887457,95,15414
1557506888500,95,15414
1557506889538,95,15414
1557506890553,95,15414
1557506891568,95,15414
1557506892599,95,15414
1557506893599,95,15414
1557506894657,95,15414
1557506895661,95,15414
1557506896687,95,15414
1557506897714,95,15414
1557506898755,95,15414
1557506899747,95,15414
1557506900791,95,15414
1557506901792,95,15414
1557506902836,95,15414
1557506903852,95,15414
1557506904872,95,15414
1557506905906,95,15414
1557506906945,95,15414
1557506907963,95,15414
1557506908980,95,15414
1557506910025,95,15414
1557506911034,95,15414
1557506912057,95,15414
1557506913064,95,15414
1557506914112,95,15414
1557506915136,95,15414
1557506916161,95,15414
1557506917173,95,15414
1557506918189,95,15414
1557506919213,95,15414
1557506920245,95,15414
1557506921262,95,15414
1557506922286,95,15414
1557506923322,95,15414
1557506924331,95,15414
1557506925345,95,15414
1557506926370,95,15414
1557506927412,95,15414
1557506928452,95,15414
1557506929441,95,15414
1557506930471,95,15414
1557506931549,95,15414
1557506932519,95,15414
1557506933542,95,15414
1557506934581,95,15414
1557506935597,95,15414
1557506936638,95,15414
1557506937642,95,15414
1557506938656,95,15414
1557506939696,95,15414
1557506940722,95,15414
1557506941736,95,15414
1557506942776,95,15414
1557506943849,95,15414
1557506944819,95,15414
1557506945830,95,15414
1557506946867,95,15414
1557506947869,95,15414
1557506948900,95,15414
1557506949949,95,15414
1557506950944,95,15414
1557506952041,95,15414
1557506953004,95,15415
1557506954030,95,15415
1557506955062,96,15415
1557506956131,96,15415
1557506957090,96,15415
1557506958118,96,15415
1557506959161,96,15415
1557506960157,96,15415
1557506961195,96,15415
1557506962232,96,15415
1557506963246,96,15415
1557506964312,96,15415
1557506965307,96,15415
1557506966313,96,15415
1557506967335,96,15415
1557506968399,96,15415
1557506969392,96,15415
1557506970397,96,15415
1557506971433,96,15415
1557506972511,96,15415
1557506973488,96,15415
1557506974502,96,15415
1557506975535,96,15415
1557506976606,96,15415
1557506977608,96,15415
1557506978605,96,15415
1557506979635,96,15415
1557506980700,96,15415
1557506981685,96,15415
1557506982705,96,15415
1557506983743,96,15415
1557506984776,96,15415
1557506985792,96,15415
1557506986808,96,15415
1557506987813,96,15415
1557506988868,96,15415
1557506989871,96,15415
1557506990885,96,15415
1557506991933,96,15415
1557506992967,96,15415
1557506993959,96,15415
1557506995001,96,15415
1557506996028,96,15415
1557506997075,96,15415
1557506998074,96,15415
1557506999084,96,15415
1557507000097,96,15415
1557507001144,96,15415
1557507002189,96,15415
1557507003186,96,15415
1557507004215,96,15415
1557507005252,96,15415
1557507006246,96,15415
1557507007272,96,15415
1557507008320,96,15415
1557507009350,96,15415
1557507010340,96,15415
1557507011377,96,15415
1557507012390,96,15415
1557507013435,96,15415
1557507014464,96,15415
1557507015479,96,15415
1557507016500,96,15415
1557507017521,96,15415
1557507018556,96,15415
1557507019577,96,15415
1557507020622,96,15416
1557507021620,96,15416
1557507022650,97,15416
1557507023658,97,15416
1557507024682,97,15416
1557507025718,97,15416
1557507026756,97,15416
1557507027768,97,15416
1557507028785,97,15416
1557507029799,97,15416
1557507030841,97,15416
1557507031846,97,15416
1557507032909,97,15416
1557507033914,97,15416
1557507034952,97,15416
1557507035956,97,15416
1557507036971,97,15416
1557507038009,97,15416
1557507039028,97,15416
1557507040049,97,15416
1557507041075,97,15416
1557507042099,97,15416
1557507043111,97,15416
1557507044151,97,15416
1557507045190,97,15416
1557507046186,97,15416
1557507047232,97,15416
1557507048252,97,15416
1557507049277,97,15416
1557507050306,97,15416
1557507051313,97,15416
1557507052329,97,15416
1557507053379,97,15416
1557507054395,97,15416
1557507055432,97,15416
1557507056437,97,15416
1557507057455,97,15416
1557507058489,97,15416
1557507059500,97,15416
1557507060542,97,15416
1557507061558,97,15416
1557507062594,97,15416
1557507063599,97,15416
1557507064618,97,15416
1557507065644,97,15416
1557507066687,97,15416
1557507067731,97,15416
1557507068716,97,15416
1557507069746,97,15416
1557507070763,97,15416
1557507071784,97,15416
1557507072830,97,15416
1557507073845,97,15416
1557507074859,97,15416
1557507075890,97,15416
1557507076917,97,15416
1557507077932,97,15416
1557507078980,97,15416
1557507080008,97,15416
1557507081025,97,15416
1557507082027,97,15416
1557507083061,97,15416
1557507084082,97,15416
1557507085114,97,15416
1557507086135,97,15416
1557507087178,97,15416
1557507088180,97,15416
1557507089217,97,15417
1557507090230,97,15417
1557507091272,98,15417
1557507092289,98,15417
1557507093308,98,15417
1557507094320,98,15417
1557507095348,98,15417
1557507096389,98,15417
1557507097420,98,15417
1557507098420,98,15417
1557507099467,98,15417
1557507100480,98,15417
1557507101500,98,15417
1557507102535,98,15417
1557507103566,98,15417
1557507104559,98,15417
1557507105590,98,15417
1557507106632,98,15417
1557507107649,98,15417
1557507108673,98,15417
1557507109700,98,15417
1557507110702,98,15417
1557507111745,98,15417
1557507112777,98,15417
1557507113789,98,15417
1557507114800,98,15417
1557507115843,98,15417
1557507116846,98,15417
1557507117875,98,15417
1557507118917,98,15417
1557507119934,98,15417
1557507120946,98,15417
1557507121978,98,15417
1557507123001,98,15417
1557507124016,98,15417
1557507125051,98,15417
1557507126129,98,15417
1557507127108,98,15417
1557507128132,98,15417
1557507129127,98,15417
1557507130158,98,15417
1557507131183,98,15417
1557507132225,98,15417
1557507133231,98,15417
1557507134287,98,15417
1557507135287,98,15417
1557507136301,98,15417
1557507137348,98,15417
1557507138423,98,15417
1557507139392,98,15417
1557507140404,98,15417
1557507141434,98,15417
1557507142454,98,15417
1557507143507,98,15417
1557507144498,98,15417
1557507145537,98,15417
1557507146549,98,15417
1557507147569,98,15417
1557507148583,98,15417
1557507149636,98,15417
1557507150706,98,15417
1557507151678,98,15417
1557507152692,98,15417
1557507153713,98,15417
1557507154734,98,15417
1557507155775,98,15417
1557507156796,98,15418
1557507157817,98,15418
1557507158844,99,15418
1557507159874,99,15418
1557507160906,99,15418
1557507161933,99,15418
1557507162990,99,15418
1557507163957,99,15418
1557507165008,99,15418
1557507166018,99,15418
1557507167031,99,15418
1557507168065,99,15418
1557507169069,99,15418
1557507170104,99,15418
1557507171179,99,15418
1557507172140,99,15418
1557507173186,99,15418
1557507174220,99,15418
1557507175267,99,15418
1557507176264,99,15418
1557507177277,99,15418
1557507178316,99,15418
1557507179367,99,15418
1557507180372,99,15418
1557507181379,99,15418
1557507182417,99,15418
1557507183414,99,15418
1557507184445,99,15418
1557507185471,99,15418
1557507186513,99,15418
1557507187576,99,15418
1557507188539,99,15418
1557507189576,99,15418
1557507190585,99,15418
1557507191605,99,15418
1557507192656,99,15418
1557507193660,99,15418
1557507194690,99,15418
1557507195752,99,15418
1557507196726,99,15418
1557507197763,99,15418
1557507198810,99,15418
1557507199857,99,15418
1557507200838,99,15418
1557507201856,99,15418
1557507202868,99,15418
1557507203949,99,15418
1557507204936,99,15418
1557507205957,99,15418
1557507206979,99,15418
1557507208060,99,15418
1557507209025,99,15418
1557507210059,99,15418
1557507211079,99,15418
1557507212141,99,15418
1557507213115,99,15418
1557507214146,99,15418
1557507215171,99,15418
1557507216234,99,15418
1557507217215,99,15418
1557507218236,99,15418
1557507219270,99,15418
1557507220315,99,15418
1557507221305,99,15418
1557507222327,99,15418
1557507223382,99,15418
1557507224374,99,15418
1557507225507,99,15419
1557507226459,99,15419
1557507227456,100,15419
1557507228476,100,15419
1557507229522,100,15419
1557507230593,100,15419
1557507231539,100,15419
1557507232568,100,15419
1557507233603,100,15419
1557507234637,100,15419
1557507235641,100,15419
1557507236664,100,15419
1557507237697,100,15419
1557507238732,100,15419
1557507239754,100,15419
1557507240752,100,15419
1557507241805,100,15419
1557507242821,100,15419
1557507243848,100,15419
1557507244866,100,15419
1557507245884,100,15419
1557507246993,100,15419
1557507247929,100,15419
1557507248947,100,15419
1557507249988,100,15419
1557507251066,100,15419
1557507252026,100,15419
1557507253038,100,15419
1557507254089,100,15419
1557507255109,100,15419
1557507256116,100,15419
1557507257154,100,15419
1557507258187,100,15419
1557507259206,100,15419
1557507260233,100,15419
1557507261257,100,15419
1557507262255,100,15419
1557507263361,100,15419
1557507264330,100,15419
1557507265348,100,15419
1557507266353,100,15419
1557507267448,100,15419
1557507268401,100,15419
1557507269442,100,15419
1557507270465,100,15419
1557507271486,100,15419
1557507272495,100,15419
1557507273543,100,15419
1557507274556,100,15419
1557507275639,100,15419
1557507276597,100,15419
1557507277631,100,15419
1557507278655,100,15419
1557507279725,100,15419
1557507280718,100,15419
1557507281741,100,15419
1557507282756,100,15419
1557507283819,100,15419
1557507284821,100,15419
1557507285810,100,15419
1557507286846,100,15419
1557507287925,100,15419
1557507288884,100,15419
1557507289913,100,15419
1557507290959,100,15419
1557507292001,100,15419
1557507293004,100,15420
1557507294011,100,15420
1557507295026,101,15420
1557507296173,101,15420
1557507297094,101,15420
1557507298110,101,15420
1557507299139,101,15420
1557507300211,101,15420
1557507301185,101,15420
1557507302205,101,15420
1557507303243,101,15420
1557507304253,101,15420
1557507305270,101,15420
