timestamp,ssid,bssid,frequency,rssi
1557482023573,d8:c7:c8:df:2d:e0,d8:c7:c8:df:2d:e0,2412,-75
1557482023573,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-76
1557482023573,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-76
1557482023573,d8:c7:c8:df:2d:e2,d8:c7:c8:df:2d:e2,2412,-76
1557482023573,d8:c7:c8:df:2d:e1,d8:c7:c8:df:2d:e1,2412,-76
1557482023573,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-76
1557482023573,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-78
1557482023573,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-79
1557482023573,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-79
1557482023573,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-79
1557482023573,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-82
1557482023573,90:9f:33:8f:d3:ae,90:9f:33:8f:d3:ae,2417,-82
1557482023573,90:9f:33:dc:43:6c,90:9f:33:dc:43:6c,2427,-82
1557482023573,d8:c7:c8:df:2d:f2,d8:c7:c8:df:2d:f2,5240,-83
1557482023573,d8:c7:c8:df:2d:f1,d8:c7:c8:df:2d:f1,5240,-84
1557482023573,d8:c7:c8:df:2d:f0,d8:c7:c8:df:2d:f0,5240,-84
1557482023573,88:36:6c:87:fc:d0,88:36:6c:87:fc:d0,2467,-84
1557482023573,02:11:87:08:8e:ff,02:11:87:08:8e:ff,2412,-86
1557482023573,00:26:66:c4:7e:0c,00:26:66:c4:7e:0c,2462,-88
1557482023573,00:26:66:c4:7e:08,00:26:66:c4:7e:08,5180,-88
1557482027128,9c:1c:12:d2:ee:42,9c:1c:12:d2:ee:42,2452,-59
1557482027128,9c:1c:12:d2:ee:41,9c:1c:12:d2:ee:41,2452,-59
1557482027128,9c:1c:12:d2:ee:40,9c:1c:12:d2:ee:40,2452,-59
1557482027128,88:36:6c:0f:b7:de,88:36:6c:0f:b7:de,2422,-61
1557482027128,9c:1c:12:d2:ee:52,9c:1c:12:d2:ee:52,5805,-64
1557482027128,9c:1c:12:d2:ee:51,9c:1c:12:d2:ee:51,5805,-64
1557482027128,9c:1c:12:d2:ee:50,9c:1c:12:d2:ee:50,5805,-64
1557482027128,02:15:99:ce:27:20,02:15:99:ce:27:20,2412,-73
1557482027128,88:36:6c:0f:b7:dc,88:36:6c:0f:b7:dc,5765,-74
1557482027128,d8:c7:c8:de:f5:20,d8:c7:c8:de:f5:20,2472,-77
1557482027128,fa:d0:27:3b:99:39,fa:d0:27:3b:99:39,2437,-78
1557482027128,d8:c7:c8:de:f5:21,d8:c7:c8:de:f5:21,2472,-78
1557482027128,d8:c7:c8:de:f5:22,d8:c7:c8:de:f5:22,2472,-79
1557482027128,d8:c7:c8:de:f5:31,d8:c7:c8:de:f5:31,5220,-79
1557482027128,d8:c7:c8:de:f5:30,d8:c7:c8:de:f5:30,5220,-79
1557482027128,d8:c7:c8:de:f5:32,d8:c7:c8:de:f5:32,5220,-79
